Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/HaroldBarretto/Image/blob/f0bf3c690463c5d95c7f95cd8e43d316e05d9712/Background01.png?raw=true,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://github.com/HaroldBarretto/Image/blob/f0bf3c690463c5d95c7f95cd8e43d316e05d9712/Background02.png?raw=true,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
